nome;imagem;atributos
Armário de Cozinha Compacta Madesa Reims com Balcão 5 Portas 3 Gavetas - Branco;https://static.mobly.com.br/r/2000x2000/p/Madesa-ArmC3A1rio-de-Cozinha-Compacta-Madesa-Reims-com-BalcC3A3o-5-Portas-3-Gavetas---Branco-4057-690339-2.jpg?_gl=1*ij4wet*_ga*NDI2ODExNjguMTY5NTQyODE3OQ..*_ga_52S02DHY6L*MTY5NTYxNTQ1MC44LjEuMTY5NTYxNTQ2Ni40NC4wLjA.;"
Cor	Branco
Garantia em Meses	3 Meses
Instruções/Cuidados	Utilize um pano limpo, levemente umedecido e seque em seguida a superfície. Não usar produtos químicos ou abrasivos para a limpeza. Recomendamos polir seu móvel com lustra-móveis duas a três vezes por ano.
Conteúdo da Embalagem	1 Cozinha Compacta
Modelo	XAG200806E09
Material	MDP
Descrição do Tamanho	210 cm x 180 cm x 52 cm
Produto precisa de Montagem?	Sim, sugerimos a contratação de um profissional ou do Serviço de Montagem Mobly (para os CEPs em que ele está disponível). Saiba mais.
Espelho	sem Espelho
Número de portas	5
Número de gavetas	3
Tipo de pé	Fixo
Número de Prateleiras	5"
Armário de Cozinha Completa de Canto 349cm Branco/Preto Glamy Madesa 07;https://static.mobly.com.br/r/2000x2000/p/Madesa-ArmC3A1rio-de-Cozinha-Completa-de-Canto-349cm-Branco2FPreto-Glamy-Madesa-07-3902-2941111-1.jpg;"
Cor	Branco
Garantia em Meses	3 meses contra defeitos de fabricação
Instruções/Cuidados	Utilize um pano limpo, levemente umedecido e seque em seguida a superfície. Não usar produtos químicos ou abrasivos para a limpeza. Recomendamos polir seu móvel com lustra-móveis duas a três vezes por ano.
Conteúdo da Embalagem	1 Cozinha Completa
Modelo	GCGL34900773
Material	MDP
Descrição do Tamanho	225 cm x 349 cm x 52 cm
Produto precisa de Montagem?	Sim, sugerimos a contratação de um profissional ou do Serviço de Montagem Mobly (para os CEPs em que ele está disponível). Saiba mais."
